shop                                                        ,datetime            ,price_reg ,price_promo ,article ,name                                                                                            ,category_path
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:51 ,     8111 ,       8111 ,в44618  ,"Коньяк Camus V.S.O.P., gift box,  0.5 л"                                                       ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:48 ,     1850 ,       1850 ,в16633  ,"Аперитив ""Aperol"",  0.7 л"                                                                   ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:49 ,     2499 ,       2499 ,в33701  ,"Аперитив ""Aperol"",  1 л"                                                                     ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:50 ,     3815 ,       3815 ,в43620  ,"Аперитив ""Aperol"",  3 л"                                                                     ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:51 ,     1610 ,       1610 ,в179444 ,"Аперитив ""Aperol"",  350 мл"                                                                  ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:52 ,     1488 ,       1488 ,в250390 ,"Аперитив ""Aperol"",  375 мл"                                                                  ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:51 ,     3654 ,       3654 ,в225414 ,"Текила ""Olmeca"" Silver,  0.7 л"                                                              ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:51 ,     2537 ,       2537 ,в224284 ,"Текила ""Olmeca"" Silver,  0.5 л"                                                              ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:52 ,     3792 ,       3792 ,в240884 ,"Текила ""Olmeca"" Silver,  1 л"                                                                ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
"Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 " ,2025-02-04 23:17:52 ,    10709 ,      10709 ,в2253   ,"Коньяк ""Hennessy"" V.S.O.P., with gift box,  0.7 л"                                           ,"От Winestyle|Из ТТ Санкт-Петербург, 15-я линия Васильевского Острова, д. 58 | Все"
