shop,datetime,price_reg,price_promo,article,name,category_path
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:13,1299,1039,в235551,"Вино ""Masamadre"" Red Blend, Calatayud DO, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:11,1499,1199,в243531,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:13,1399,1399,в223542,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:16,1099,1099,в192668,"Вино ""Flor de Sara"" Vendimia Seleccionada, Rioja DOC, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:14,1199,959,в235561,"Вино ""Vina Tempero"" Verdejo Viura, Rueda DO, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:16,1199,1199,в221490,"Вино ""Vina Tempero"" Verdejo Viura, Rueda DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:16,1299,1299,в243534,"Вино Vega Moragona, ""Tradicion"" Syrah, Ribera del Jucar DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:18,1199,1199,в232840,"Вино Vega Moragona, ""Tradicion"" Syrah, Ribera del Jucar DO, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:18,1999,1599,в247778,"Вино ""Valvirginio"" Chianti DOCG Riserva, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:21,1999,1999,в221494,"Вино ""Valvirginio"" Chianti DOCG Riserva, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:21,999,999,в221481,"Вино Familia Bastida, ""Talma"" Syrah, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:22,799,799,в192605,"Вино Familia Bastida, ""Talma"" Syrah, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:23,1499,1199,в247787,"Вино Connoisseur, ""Les Gardien des Cieux"", Cotes de Gascogne IGP, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:26,1299,1299,в227170,"Вино Connoisseur, ""Les Gardien des Cieux"", Cotes de Gascogne IGP, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:22,1199,1199,в243537,"Вино Alceno, ""Ally Bay"" Sauvignon Blanc, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:24,999,999,в198164,"Вино Alceno, ""Ally Bay"" Sauvignon Blanc, 2021 ",Вино
