shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                       ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:08 ,      999 ,        799 ,в248926 ,"Вино ""Bendito"" Merlot, Valley Central DO, 2023 "                                        ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:09 ,      769 ,        769 ,в209690 ,"Вино Luis Felipe Edwards, ""Bendito"" Merlot, Central Valley DO, 2022 "                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:10 ,     5999 ,       4799 ,в251064 ,Набор Set of Friut Riesling                                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:10 ,     1999 ,       1699 ,в221489 ,"Вино Castello di Corbara, ""Thybris"" Sangiovese, Lago di Corbara DOC, 2020 "             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:12 ,      999 ,        799 ,в248927 ,"Вино ""Bendito"" Cabernet Sauvignon, Valley Central DO, 2023 "                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:12 ,     4249 ,       3690 ,в32833  ,"Ром ""Legendario"" Elixir de Cuba,  0.7 л"                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:11 ,     5390 ,       2990 ,в4134   ,"Абсент Xenta,  0.7 л"                                                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:12 ,      849 ,        849 ,в4129   ,"Абсент Xenta,  200 мл"                                                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:13 ,     1399 ,       1399 ,в4130   ,"Абсент Xenta,  350 мл"                                                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:13 ,     4249 ,       4249 ,в4133   ,"Абсент Xenta,  0.5 л"                                                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:14 ,     2839 ,       2839 ,в4135   ,"Абсент Xenta,  1 л"                                                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:15 ,      339 ,        339 ,в54895  ,"Абсент Xenta,  50 мл"                                                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:12 ,     2409 ,       1849 ,в2936   ,"Водка ""Белуга"" Нобл,  0.7 л"                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:13 ,      239 ,        239 ,в2934   ,"Водка ""Белуга"" Нобл,  100 мл"                                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:14 ,     1709 ,       1490 ,в2935   ,"Водка ""Белуга"" Нобл,  0.5 л"                                                            ,
