shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                                          ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:21 ,     1199 ,       1199 ,в243537 ,"Вино Alceno, ""Ally Bay"" Sauvignon Blanc, 2023 "                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:25 ,      999 ,        999 ,в198164 ,"Вино Alceno, ""Ally Bay"" Sauvignon Blanc, 2021 "                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:28 ,      999 ,        999 ,в211728 ,"Вино Alceno, ""Ally Bay"" Sauvignon Blanc, 2022 "                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:34 ,     2499 ,       2499 ,в240889 ,"Вино Santa Tresa, ""Insieme"" Orange, Terre Siciliane IGP, 2023 "                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:32 ,     2299 ,       1999 ,в247782 ,"Вино ""Flor de Sara"" Reserva, Rioja DOC, 2019 "                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:35 ,     2199 ,       2199 ,в206497 ,"Вино ""Flor de Sara"" Reserva, Rioja DOC, 2018 "                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:39 ,     1599 ,       1599 ,в192664 ,"Вино ""Flor de Sara"" Reserva, Rioja DOC, 2015 "                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:33 ,     1299 ,       1299 ,в211752 ,"Вино ""Corkout"" Zweigelt, 2021 "                                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:37 ,      999 ,        999 ,в182469 ,"Вино ""Corkout"" Zweigelt, 2020 "                                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:44 ,      929 ,        929 ,в160049 ,"Вино ""Corkout"" Zweigelt, 2018 "                                                                            ,
